Language	Source	Date	Text
Latvian	bauskasdzive.lv	2011/10/25	Bauskā, Pasta ielā, 21. oktobrī aizturēta 1984. gadā dzimusi sieviete. Policija viņu tur aizdomās par mobilā telefona zādzību.
Latvian	bdaugava.lv	2011/10/02	Bet vienveidīgs, vitamīniem un minerālvielām nepietiekošs uzturs nenovēršami ved pie dažādām slimībām. Kļūsim slimāki un nabagāki, jo viss, ko algas dienās saņemsim, būs jāizdod par komunālajiem pakalpojumiem, medicīnu, pārtiku. Bet bez ēšanas cilvēks iztikt nekādi nevar! Un uz tā rēķina uzņēmējiem — kabatu pildīšanas iespējas!
Latvian	zz.lv	2007/01/07	2008.gadā gāzes piegādes cena pieaugs vēl par 30%. Tā gāzes piegādes cenas Latvijai tiks izlīdzinātas ar Eiropas cenām. Turpmākās pārmaiņas būs atkarīgas tikai no mazuta vidējās cenas tirgū.
Latvian	bauskasdzive.lv	2011/10/07	Kā informē pašvaldības projektu vadītāja Ineta Bramane, izdarīts vairāk nekā sākotnēji plānots, jo naudu darbu gaitā izdevies ietaupīt.
Latvian	dzirkstele.lv	2007/03/09	"""Es joprojām palieku pie uzskata, ka nevaru pildīt pienākumus, kamēr prokuratūra nav sniegusi savu skaidrojumu. Ja pa nedēļu nekas nemainīsies, vēlreiz lūgšu ZZS valdes viedokli, un ne vēlāk kā nākamajā pirmdienā būs lēmums,"" sacīja Saeimas priekšsēdētājas."
Latvian	diena.lv	2010/02/12	Grezna kompānija
Latvian	rekurzeme.lv	2011/09/06	"Maijā Liepājas ostā pārkrauti 151,3 tūkstoši tonnu beramkravu, no kurām 81,9 tūkstošus tonnu veido labība un labības produkti. Tāpat pārkrautas ogles, koksnes šķelda. Stabili strādājis arī ""Cemex"" terminālis, kas maijā nodrošinājis 33,5 tūkstošu tonnu celtniecības materiālu apgrozījumu Liepājas ostā, un tas ir par 70,05% vairāk nekā gadu iepriekš."
Latvian	db.lv	2011/12/16	Preču zīmju departamenta direktore Dace Liberte norādījusi, ka pašlaik laimētava ir sugas vārds – tāds pats kā frizētava. Tāpēc atļaut to kādam monopolizēt nav nekāda pamata.
Latvian	diena.lv	2011/10/25	18. decembrī muzejā tiks svinēts Bluķa vakars ziemas saulgriežu tradīcijās, neiztrūks arī Ziemassvētku veltes amatnieku tirdziņā. 26. decembrī, kad Ziemassvētki ģimenes lokā aizvadīti, muzejs aicinās uz Ziemas balli, kur gaismas spēles uz apsnigušajām senceltnēm un sniega kupenām noskaņos romantiskai un mierīgai gada izskaņai.
Latvian	bdaugava.lv	2009/08/12	Ātro palīdzību visā valsts teritorijā var izsaukt bez maksas pa tālruņiem 03 (no fiksētā tālruņa) un 112 (no mobilā tālruņa).
Latvian	diena.lv	2011/12/01	Ceturtdien iekšlietu ministrs Rihards Kozlovskis un valsts sekretāre Ilze Pētersone-Godmane tikās ar Krievijas Federācijas vēstnieku Latvijā Aleksandru Vešņakovu. Tikšanās laikā puses pārrunāja līdzšinējo veiksmīgo sadarbību starp abu valstu radniecīgajiem dienestiem īpaši jomās, kas skar organizētās noziedzības un narkotiku nelegālās aprites apkarošanu. Tāpat abas puses tikšanās laikā pārrunāja iespēju apmeklēt austrumu robežu, lai novērtētu situāciju saistībā ar transporta līdzekļu plūsmas pieaugumu uz Latvijas – Krievijas robežas.
Latvian	zz.lv	2009/05/08	Līdz pāriešanai uz NĪP mūsu apsaimniekotājs bija SIA «Nebruk Jelgava», tās pārvaldnieks ir N.Bērziņa kungs. Darbu izcenojuma tāmes nekad neredzējām un neparakstījām. Diennakts avārijas brigādes nepastāvēja. Santehniķa, elektriķa pakalpojumi darba dienās bija sasniedzami līdz pulksten 16. Iedomājieties, kā noplūda dzīvokļi, pagrabs, ja plīsa vai aizdambējās kanalizācijas caurules, piemēram, uz Jauno gadu!
Latvian	ntz.lv	2010/03/11	Bet, pateicoties čaklajiem konkursa dalībniekiem, nu Kandavā līdz baudīt ozolzīļu kafiju varēs droši līdz nākošajai zīļu ražai!
Latvian	diena.lv	2011/12/28	(Rakstā ir 2235 simboli...)
Latvian	diena.lv	2011/12/22	Policijai ir pamatotas aizdomas, ka vīrietis ir veicis arī citas laupīšanas un zādzības, tāpēc policija lūdz uzmanīgi apskatīt fotogrāfijas un atsaukties ikvienu, kurš ir cietis no tajās redzamā vīrieša pretlikumīgajām darbībām, zvanot uz tālruņu numuriem: 67086327, 67086330, 67086302 vai 110.
Latvian	ziemellatvija.lv	2010/09/13	"Sabiedriskajā ēdināšanā lielākoties strādāja fanātiķi, jo darbs bija grūts un algas vienas no vismazākajām. Valdīja uzskats, ka cilvēki savā darbā ir paēduši un kaut ko aiznesa arī uz māju ģimenei. Ne jau visi tā darīja. No vecajiem laikiem pie manis pašlaik strādā konditores, pavāres un pārdevējas, pavisam septiņas darbinieces,"" stāsta A. Kārkliņa. Viņa atzīst, ka varējusi lepoties arī ar ""Rotā"" piedāvātajiem ēdieniem."
Latvian	db.lv	2010/02/25	ERGO informē, ka, līdzīgi kā iepriekšējos periodos lielāko apdrošināšanas prēmiju daļu Baltijas valstīs veidoja KASKO (29,6 miljoni eiro), OCTA (29,1 miljons eiro) un īpašuma apdrošināšanas prēmijas (25,3 miljoni eiro).
Latvian	db.lv	2011/09/05	Bērziņu ģimenes uzņēmums arī nav uzskatījis par vajadzīgu ievietot savu piedāvājumu ne asociācijas Lauku ceļotājs portālā, ne citās ārpus Rīgas atpūtai veltītās datubāzēs. Nav atrodama arī uzņēmuma interneta lapa, un Kājiņas B nav uzskatījušas par nepieciešamu savu adresi, telefonu un piedāvājumu minēt kaut vai publiskajās adrešu un telefonu datubāzēs.
Latvian	dzirkstele.lv	2007/12/09	Norvēģija arī piekritusi veikt tā dēvēto pirmsizpētes projektu, lai palīdzētu Baltijas valstīm izvērtēt situāciju pirms lēmuma pieņemšanas par gaisa telpas aizsardzību pēc 2018.gada. Tiek plānots izvērtēt iespējas veikt kopīgus iepirkumus militārām vajadzībām.
Latvian	db.lv	2011/09/20	Arī uzņēmuma lielākā akcionāra INPO 7 īpašnieka Privātās aktīvu pārvaldes mediju attiecību speciālists Juris Pētersons atzina, ka situācija nav mainījusies, izmaiņas oficiālos reģistros nav veiktas un viss ir pārrunu procesā. Pārrunas īpašnieki nekomentēšot. Jautāts, vai ir noslēgts nodomu protokols par kompānijas pārdošanu, J. Pētersons sacīja, ka to nevar komentēt.
Latvian	zz.lv	2008/04/25	Varēs arī piedalīties reto, unikālo augu izsolē, kas ar labiem panākumiem tika organizēta jau rudens stādu parādē Bulduros. Izstādes dalībnieki būs sarūpējuši retus augus, kurus parasti pārdošanā neredz.
Latvian	bdaugava.lv	2010/07/22	Valsts prezidents apmeklē Jēkabpils un Viesītes novadu
Latvian	ziemellatvija.lv	2008/06/22	"""Tādēļ man citu vaļasprieku nav. Katrreiz pēc kāda pasākuma, kad braucam mājās, izanalizējam, kā iecerētais scenārijs izdevies. Ja viss noritējis labi, arī es jūtos it kā atpūtusies ar jaunu enerģiju. Cilvēkiem jādod brīva izvēle pat svinībās. Piemēram, ir tādi, kuri nevēlas iesaistīties atrakcijās, dejās, bet grib būt savrup un visu vērot."
Latvian	zz.lv	2011/04/20	Ministrs atbalstījis K.Rimšas un viņa domubiedru ieceri panākt izmaiņas Pašvaldību likumā. To mērķis ir normatīvos paredzēt iespēju vēlētājiem atbrīvot ievēlēto domi arī laika posmā starp vēlēšanām. Tas varētu būt, piemēram, referendums. «To žagariņu vai pātagu vajag,» saka K.Rimša un piebilst – likuma izmaiņas, kuras aktualizētas Z.Caunes pārkāpumu rezultātā, vairs neesot tikai Jelgavas novada jautājums. Sviras pašvaldību domju ietekmēšanai četru gadu periodā starp vēlēšanām gribot arī citu pašvaldību iedzīvotāji.
Latvian	diena.lv	2011/10/28	Radio ziņo, ka šobrīd policija pārmeklē tuvējo apkārtni, lai aizturētu iespējamos uzbrucēja līdzinātājus. Radio arī vēsta, ka apšaudē divi policisti guvuši ievainojumus. Viens no viņiem ir smagi ievainots. Kāda aculieciniece radiostacijai BHR1 pastāstīja, ka apšaude esot ilgusi aptuveni 15 minūtes.
Latvian	db.lv	2012/01/09	2010.gadā telekompānija LNT strādāja ar 809,1 tūkst. Ls zaudējumiem, kas ir nedaudz mazāki, jo 2009.gadā LNT cieta 1,12 milj. Ls zaudējumus. LNT apgrozījums 2010.gadā bija 7,98 milj. Ls.
Latvian	bdaugava.lv	2010/04/08	Protams, nav jau noslēpums, ka notiek naudas pārdalīšana, un ienākumu bāze visiem pagastiem nav vienāda. Tāpat nevar noliegt to, ka, veidojot novadus, nācis klāt administratīvais aparāts, kas arī prasa papildu līdzekļus. Viens otrs uzņēmējs ir izteicis priekšlikumus par to, ka nekāda pārvalde nav vajadzīga, viņi paši var ierasties pilsētā un visu nokārtot! Taču jāņem vērā tas, ka ne jau visi tik vienkārši var tikt uz centru. Esmu novērojis, ka pagastu pārvaldniekiem vienu otru reizi trūkst uzņēmības vai drosmes, lai kaut ko nokārtotu.
Latvian	diena.lv	2010/08/11	Diena vaicā: kādām sporta komandām valsts finansējums būtu jāpiešķir?
Latvian	dzirkstele.lv	2010/07/01	Resnās un taisnās zarnas tīrīšana ir labākā preventīvā metode un tā jūs varat izvairīties no zarnu iekaisumiem un vēža, kā arī citām smagām zarnu trakta slimībām - kairinošiem zarnu iekaisumiem, Krona slimība, Čūlas kolīta, u.c.
Latvian	staburags.lv	2008/04/29	Neatceras, kur piekauts
Latvian	la.lv	2011/07/24	Kaspars Upītis atgādina, ka pie Kultūras ministrijas izveidotā darba grupa pirms dažiem gadiem nāca klajā ar secinājumu, ka pilna baznīcas kompleksa – gan Doma ar krusteju, gan Rīgas vēstures un kuģniecības muzeja ēkas – restaurācija varētu izmaksāt ap 30 miljoniem latu. Šobrīd no šīs summas tiek apgūti četri miljoni latu, taču Doma apsaimniekotāji jau kaļot plānus, kā piesaistīt nākamo naudas porciju.
Latvian	dzirkstele.lv	2007/08/31	"""Uzskatu, ka nelikumīgi noklausītās telefona sarunas ir daudz smagāks noziegums, jo tajā lietā bija iesaistītas ļoti daudzas personas, kuras to veica ar apzinātu nolūku dabūt stenogrammas, lai redzētu, ko runā misters Edgars Jansons,"" sacīja ""LSF Holdinga"" vadītājs, piebilstot, ka ""tādu misteru edgaru jansonu ir vismaz 45"". Viņš norādīja, ka telefona sarunu noklausīšanās ilga vairāk nekā gadu."
Latvian	dzirkstele.lv	2010/12/22	Grūti dzīstošām brūcēm ir speciāli ar medikamentiem un parafīnu piesūcināti plāksteri - ja mājās ir kopjams pacients, nekautrējieties konsultēties ar kādu medmāsu, ko jaunu desmurģija piedāvā tieši jūsu gadījumam.
Latvian	ziemellatvija.lv	2011/01/14	ROBERTS 241 SOFIJA 221
Latvian	rekurzeme.lv	2008/10/29	Klausītāju atzinību kamerorķestris saņēmis uzstājoties kopā ar solistiem Dzintaru Beitānu (vijole), jauno talantu no Sanktpēterburgas Sergeju Dogadinu (vijole), Mārci Kūli (klarnete), Anitu Barloti (flauta), Māri Kupču (ģitāra) u.c.
Latvian	dzirkstele.lv	2011/04/12	2) izlozē jāiekļūst starp 20 veiksminiekiem, kuri spēles lielajā pārtraukumā varēs pa reizei mest trīspunktnieku;
Latvian	zz.lv	2008/01/16	Sekmīgi cīnījās arī 14 - 15 gadu vecuma grupas sportisti. Tāllēkšanas sektorā ar 5,78 metru lēcienu (personīgais rekords) nepārspēts palika un 60 metros trešo labāko rezultātu uzrādīja Ričards Grīnbergs (RSC).
Latvian	zz.lv	2011/05/17	2007.gadā A.Ķipurs no slimnīcas saņēma 26,3 tūkstošus latu, bet no Jelgavas Domes – 5 355 latus. Tad viņa kontā «Swedbank» bija uzkrāti 3 000 latu.
Latvian	diena.lv	2011/12/12	"""Tas koalīciju neapdraud,"" sacīja Aleksandrs. ""Koalīcija tika izveidota, divas partijas sanāca kopā, nacionālo interešu vadītas, lai atrisinātu fundamentālas ekonomikas problēmas, kas mums ir kā valstij."""
Latvian	la.lv	2011/04/13	Ap Bruņinieku alas svētajiem racējiem sāka spietot žurnālisti. Avīzes publicēja plašus rakstus, veselus atvērumus uz abām avīžu lappusēm, ufologs Māris Tomiņš sniedza garas intervijas televīzijā un radiofonā.
Latvian	rekurzeme.lv	2011/08/11	Jāatgādina, ka no 20. oktobra līdz 1. novembrim ikviens interneta lietotājs LTV mājas lapas interneta vietnē www.eirovizija.lv varēja noklausīties visas priekšatlasē iekļuvušās dziesmas un nobalsot par sev tīkamāko (balsot varēja tikai vienu reizi).
Latvian	dzirkstele.lv	2007/10/22	"""Vienam projektam ministrija piešķīra 2500 latus, lai piecas rajona pašvaldības iegādātos un uzstādītu basketbola grozus, tādējādi ļaujot saturīgi pavadīt brīvo laiku. Katrai pašvaldībai piešķirti 500 lati,"" informē rajona sociālās palīdzības nodaļas vadītāja Aina Kokoreviča."
Latvian	diena.lv	2011/09/27	Pusaudzim piemērots apcietinājums.
Latvian	bauskasdzive.lv	2009/03/31	46% Eiropas valstu iedzīvotāju norāda, ka viņi nekad nav smēķējuši, bet 22% atzīst, ka viņi ir atmetuši smēķēšanu.
Latvian	staburags.lv	2011/12/21	Pļaviņās medicīniskā palīdzība bija nepieciešama 1963. gadā dzimušam vīrietim, kuru piekāva pagaidām nenoskaidrotas personas. Cietušajam konstatēja galvas un sejas sasitumu, smadzeņu satricinājumu un pārsistu lūpu.
Latvian	db.lv	2011/12/08	Patlaban notiek sarunas par vēl divu triju zīmolu attīstīšanu Baltijas valstīs, stāstīja Apranga pārstāve.
Latvian	diena.lv	2011/01/02	Saeimas opozicionāri kā nozīmīgu notikumu min arī iespējamo premjera Valda Dombrovska (Vienotība) valdības krišanu, ko gan skeptiski vērtē koalīcijas pārstāvji.
Latvian	diena.lv	2012/01/13	(istabas) dzīvnieku labturības prasībām.
Latvian	bauskasdzive.lv	2010/11/23	Pirms došanās skolēnu brīvdienās - 22. oktobrī - 18 549 devīto klašu skolēni 671 Latvijas skolā piedalījās laikraksta «Diena» organizētajā mūsdienu zināšanu konkursā «Kas notiek?». Kā «Bauskas Dzīve» jau ziņojusi, Bauskas, Iecavas, Rundāles un Vecumnieku novadā konkursā startēja 30 devītās klases. Diemžēl šoreiz mūsējo nav uzvarētāju vidū.
Latvian	ntz.lv	2008/11/04	Uz rudens pusi medus kļūst aizvien tumšāks. Tie gaišie medi ir maigi. Nākamie nāk tādi, kas kaklā cērt, bet augustā - viršu laikā - medus vēl tāds nedaudz rūgtens. Jo tumšāks medus, jo tas labāks mūsu organismam. Pircējam ir tā: jo gaišāks medus, jo vairāk garšo bērniem, bet, kad nāk padzīvojuši cilvēki, viņi izvēlas tumšo un saka, ka gaišais par daudz salds.
Latvian	db.lv	2011/11/08	Anglosakšu pasaules gals
Latvian	ntz.lv	2008/06/16	Atbildei - klusums...
Latvian	bauskasdzive.lv	2009/05/25	Tomēr tieši 1. jūnijs var būt neizdevīgs pasākuma laiks. Stāsta LSK Domes priekšsēdētāja un Vecumnieku mūzikas un mākslas skolas direktore Iveta Lavrinoviča: «Dome par pasākuma datumu pēdējā sēdē nevienojās. Šis notikums tagad ir valdes iniciatīva. Bija ieteikumi rīkot Tautas sapulci pēc vēlēšanām, bet tam nav pievērsta uzmanība. Jādomā, ka pašu skolotāju tur būs maz, jo jūnija pirmās divas nedēļas skolās ir saspringts darba laiks, kad notiek gatavošanās eksāmeniem, konsultācijas, izlaidumi.»
Latvian	la.lv	2011/03/06	Savukārt otrajā mačā ar pirmo numuru izliktie Pļaviņš un Šmēdiņš ar 2-0 (21:16, 21:14) pārspēja Janu Šindleru un Filipu Gabatulēru, kas izlikti ar septīto numuru.
Latvian	bdaugava.lv	2009/02/28	BD jau informēja, ka 17. februārī Jēkabpilī tika aizturēti divi 1985. un 1992. gadā dzimuši Lietuvas pilsoņi, kuri krāpj cilvēkus, piezvanot pa tālruni un ziņojot, ka nepieciešamas prāvas summas, lai palīdzētu sazvanītās personas tuvam radiniekam vienoties ar viņa it kā izraisītā avārijā cietušu cilvēku vai ar naudas palīdzību jāizkļūst no citas ķibeles.
Latvian	db.lv	2008/06/26	“Mazie uzņēmumi visā Eiropā liek cerības uz jauno instrumentu, lai nodarbotos ar uzņēmējdarbību vienotajā tirgū. MUA ir pārredzams, elastīgs un visur gūst plašu rezonansi. Tāpēc es aicinu Padomi un Eiropas Parlamentu drīzumā vienoties par Komisijas priekšlikumu, ” tā Iekšējā tirgus un pakalpojumu komisārs Čārlijs Makrīvijs.
Latvian	bdaugava.lv	2011/12/05	— Jā, mēs tiešām ļoti vēlamies sagādāt prieku saviem uzticamajiem skatītājiem, kuri gadu gaitā dzīvojuši līdzi mūsu izrādēm. Un pilnīgi droši var sacīt, ka Jēkabpils skatītājs ir pozitīvi ieinteresēts. To pēc tam, kad tiem bijusi iespēja spēlēt uz mūsu skatuves, mums ir teikuši cilvēki no malas — festivāla «Laipa» viesi un dalībnieki. Nākamnedēļ trīs vakarus skatītājiem būs iespēja redzēt agrāk iestudētās lugas, bet nākamo sestdien mūsu teātris piedāvā pirmizrādi — M. Zīverta lugu «Divkauja» un «Sievasmāte» iestudējumu, kā arī nelielu atskatu uz mūsu pašu dzīvi un to, kā šajos gados gājis, — stāsta Inta Ūbele.
Latvian	la.lv	2011/10/02	"– Lūdzu. Un lai katra partija uzstājas par pabalstīšanu, jo viņi visi taču sakās esam ļoti latviski. Tādas ""dāvanas"" neietekmēs jūsu nepartijiskumu."
Latvian	ziemellatvija.lv	2011/07/19	"""Turnīrs bija ļoti interesants. Kaut ko tādu piedzīvoju pirmo reizi. Dabūju uzspēlēt arī ar agrāk nezināmiem spēlētājiem. Jāatzīst, ka cīņas bija grūtas, tāpēc jo lielāks prieks, ka izdevās uzvarēt,"" komentē karalis."
Latvian	bauskasdzive.lv	2010/09/17	Pēc nedēļas, 25. septembrī, Bauskas 1. vidusskolā notiks kārtējā, nu jau trešā pulkveža Jura Dalbiņa kausa izcīņa. Tajā plānojušas piedalīties 15 komandas, tālākie dalībnieki tiek gaidīti no Valkas. Pirmajā gadā ceļojošo kausu ieguva jaunsargi no Pilsrundāles, pērn tas aizceļoja uz Kalnciemu.
Latvian	bauskasdzive.lv	2011/06/14	"Latvijas Infektoloģijas centrs aicina veltīt lielāku vērību vakcinācijai pret masalām un ir sagatavojis situāciju skaidrojošu vēstuli Ģimenes ārstu asociācijai, Latvijas Lauku Ģimenes ārstu asociācijai, Latvijas Pediatru asociācijai un Latvijas slimnīcām. Vēstulē tiek pievērsta uzmanība tam, ka par ikvienu gadījumu, kuram pat uz aizdomu pamata tiek uzstādīta diagnoze „masalas"", ir jāziņo Latvijas Infektoloģijas centra epidemiologiem, lai savlaicīgi veiktu epidemioloģisko izmeklēšanu un organizētu pretepidēmijas pasākumus. Šie pasākumi ir būtiski, lai pasargātu citus cilvēkus no inficēšanās un saslimšanas ar masalām."
Latvian	bauskasdzive.lv	2008/02/02	Programmā tiek solīts veikt konkrētus pasākumus, lai motivētu jauniešus palikt Latvijā un nebraukt peļņā uz ārzemēm. Šajā saistībā LPP/LC vēlas, lai valsts sniegtu atbalstu jauniešiem pirmā mājokļa iegādei, atbalstītu ģimenes ar bērniem un nodrošinātu iespēju veikt labi atalgotu darbu.
Latvian	bdaugava.lv	2010/04/03	Ar to tad arī pašvaldības darbinieka ābeces patiesību īsu atkārtošanu varētu beigt. Vēl jāpiebilst, ka jautājumu par šo atteikšanos informēt par pašvaldības sēžu lēmumiem esmu pārrunājusi arī ar Reģionālās attīstības un pašvaldības lietu ministrijas pārstāvjiem, kam par šo nesaprašanos nosūtīta arī vēstule (elektroniskā formā).
Latvian	bdaugava.lv	2011/11/16	Es tolaik nonācu slimnīcā un no saviem darba pienākumiem atteicos — demisionēju, pēc tam sāku strādāt agrofirmā «Daugava». Jā, tas bija traks laiks, bet bail gan nebija nemaz, lai gan arī es saņēmu pārmetumus. Atceros cilvēkus, kas tolaik bija darītāji, un atceros tos, kas vēlāk par tādiem uzdevās, lai gan tolaik nemaz tā citiem pa priekšu neskrēja.
Latvian	la.lv	2011/12/30	"Kā ziņots, festivāla programmā tiek demonstrēta arī latviešu režisora Aleksandra Rusevica spēlfilma ""Pielaikot"" par sievietes mūžīgi sievišķīgo dabu pat visekstremālākajās situācijās, animācijas filma no Igaunijas ""Volli Pall"", par mūsu kaimiņu nacionālajām īpatnībām, kā arī Lietuvas spēlfilma ""Viss jau būtu lieliski, tikai..."". Programmas garums ir 93 minūtes, filmas tiek demonstrētas oriģinālvalodā ar subtitriem latviešu valodā. Rīgas starptautiskais īsfilmu festivāls ""2ANNAS"" ir neatkarīgs kino un audiovizuālās mākslas festivāls, kas jau kopš 1996. gada maija pēdējā nedēļā iepazīstina skatītājus ar inovatīviem vizuālās komunikācijas veidiem visā pasaulē."
Latvian	bauskasdzive.lv	2011/06/24	Stipendiju nepiešķirs vai arī varēs zaudēt, ja skolēnam būs neattaisnoti stundu kavējumi vai skolas iekšējās kārtības noteikumu pārkāpumi. Par atbalsta piešķiršanu lems komisija, kurā būs novada domes, skolas padomes, skolēnu domes un skolas vadības pārstāvji.
Latvian	db.lv	2011/09/19	Jau ziņots, ka Saeimas ārkārtas vēlēšanās visvairāk jeb 31 mandātu ieguvis Saskaņas centrs, Zatlera reformu partija ieguvusi 22 mandātus, Vienotība - 20 mandātus. Visu Latvijai!-Tēvzemei un Brīvībai/LNNK parlamentā ieguvusi 14 mandātus, Zaļo un zemnieku savienība - 13. Pārējās partijas šajās vēlēšanās nav pārvarējušas 5% barjeru.
Latvian	diena.lv	2009/07/27	Visu ēdienu karalis te, protams, ir rīsi. Tas nepārsteidz, jo Taizeme ir lielākā rīsu eksportētājvalsts pasaulē. Lielākoties rīsus pasniedz kā piedevu pie sautējumiem, mērcēm un salātiem. Otra populārākā piedeva ir nūdeles, kas mēdz būt šauras un platas, īsas un garas, biezas un plānas, tumīgas un absolūti caurspīdīgas.
Latvian	la.lv	2011/09/11	"Vidusskolēnu komandas dalībai konkursā ""Nāc un studē RTU!"" var pieteikties līdz 11. novembrim, izpildot pieteikuma anketu www.rtu.lv."
Latvian	la.lv	2011/01/12	"Reirs arī norādīja, ka legalizēt varēs tikai tos ienākumus, uz kuriem attiecas likums par iedzīvotāju ienākuma nodokli. ""Nevarēs legalizēt negodīgi vai noziedzīgi iegūtus līdzekļus, piemēram, kas iegūti no narkotiku vai ieroču tirdzniecības,"" viņš piebilda."
Latvian	la.lv	2011/12/29	Graudus nesējot, jo ir pieredze, ka sējumus noposta mežacūkas.
